Commodity Code,Crop Name,Group_name
181999,HAY ALFALFA,Alfalfa
172119,SEED ALFALFA,Alfalfa
111992,CORN SILAGE,Corn
121229,COTTN LINT PIMA,Cotton
121299,COTTN LINT UNSPECIFIED,Cotton
121219,COTTN LINT UPLAND,Cotton
171519,COTTN SEED PLANTING,Cotton
151999,COTTNSEED,Cotton
161741,BEANS BLACKEYE (PEAS),Dry Beans
169999,BEANS DRY EDIBLE UNSPEC.,Dry Beans
162399,BEANS FAVA,Dry Beans
161742,BEANS GARBANZO,Dry Beans
161717,BEANS KIDNEY RED,Dry Beans
161131,BEANS LIMA LG. DRY,Dry Beans
161199,BEANS LIMA UNSPECIFIED,Dry Beans
161721,BEANS PINK,Dry Beans
171619,BEANS SEED,Dry Beans
163999,PEAS DRY EDIBLE,Dry Beans
171119,CORN SEED,Field
106269,FIELD CROP BY-PRODUCTS,Field
171949,FIELD CROPS SEED MISC.,Field
153999,PEANUTS ALL,Field
171639,PEAS SEED,Field
171582,SAFFLOWER SEED PLANTING,Field
173079,SEED BERMUDA GRASS,Field
172289,SEED CLOVER UNSPECIFIED,Field
173999,SEED GRASS UNSPECIFIED,Field
178999,SEED OTHER (NO FLOWERS),Field
173669,SEED SUDAN GRASS,Field
158316,SUNFLOWER SEED PLANTING,Field
113995,BARLEY FEED,Grain
171139,BARLEY SEED,Grain
113999,BARLEY UNSPECIFIED,Grain
111991,CORN GRAIN,Grain
112999,OATS GRAIN,Grain
171129,OATS SEED,Grain
104999,RYE GRAIN,Grain
171049,RYE SEED,Grain
101999,WHEAT ALL,Grain
171019,WHEAT SEED,Grain
106199,RICE MILLING,Rice
171069,RICE SEED,Rice
158269,SAFFLOWER,Safflower
158499,JOJOBA,Citrus & Subtropical
132999,SBEETS,Sugar Beets
161132,BEANS LIMA BABY DRY,Truck Crops
111998,CORN CRAZY,Truck Crops
111559,CORN WHITE,Truck Crops
171959,SEED VEG & VINECROP,Truck Crops
188799,HAY WILD,Field
188899,HAY SUDAN,Field
188999,HAY OTHER UNSPECIFIED,Field
192999,CORN POPCORN,Truck Crops
194599,PASTR IRRIGATED,Pasture
194799,PASTR FORAGE MISC.,Pasture
195299,HAY GREEN CHOP,Field
195399,STRAW,Field
198199,RICE WILD,Rice
198999,FIELD CROPS UNSPECIFIED,Field
201119,ORANGES NAVEL,Citrus & Subtropical
201519,ORANGES VALENCIA,Citrus & Subtropical
201999,ORANGES UNSPECIFIED,Citrus & Subtropical
202999,GRAPEFRUIT ALL,Citrus & Subtropical
203999,TANGERINES & MANDARINS,Citrus & Subtropical
204999,LEMONS ALL,Citrus & Subtropical
205999,LIMES ALL,Citrus & Subtropical
206999,TANGELOS,Citrus & Subtropical
207999,KUMQUATS,Citrus & Subtropical
208059,CITRU BY-PRODUCTS MISC.,Citrus & Subtropical
209999,CITRU UNSPECIFIED,Citrus & Subtropical
211999,APPLES ALL,Other Deciduous
212199,PEACHES FREESTONE,Other Deciduous
212399,PEACHES CLINGSTONE,Other Deciduous
212999,PEACHES UNSPECIFIED,Other Deciduous
213199,CHERRIES SWEET,Other Deciduous
214199,PEARS BARTLETT,Other Deciduous
214899,PEARS ASIAN,Other Deciduous
214999,PEARS UNSPECIFIED,Other Deciduous
215199,PLUMS,Other Deciduous
215399,PLUMCOTS,Other Deciduous
215999,PLUMS DRIED,Other Deciduous
216199,GRAPE TABLE,Vineyard
216299,GRAPE WINE,Vineyard
216399,GRAPE RAISIN,Vineyard
216999,GRAPE UNSPECIFIED,Vineyard
217999,APRICOTS ALL,Other Deciduous
218199,NECTARINES,Other Deciduous
218299,PERSIMMONS,Other Deciduous
218399,POMEGRANATES,Other Deciduous
218499,QUINCE,Other Deciduous
218839,CHERIMOYAS,Other Deciduous
218899,FRUITS & NUTS UNSPECIFIED,Other Deciduous
221999,AVOCADOS ALL,Citrus & Subtropical
224999,DATES,Citrus & Subtropical
225999,FIGS DRIED,Citrus & Subtropical
226999,OLIVES,Citrus & Subtropical
228019,GUAVAS,Citrus & Subtropical
229999,KIWIFRUIT,Citrus & Subtropical
230639,BERRIES BLACKBERRIES,Truck Crops
230869,BERRIES BOYSENBERRIES,Truck Crops
236199,BERRIES RASPBERRIES,Truck Crops
237199,BERRIES STRAWBERRIES F MKT,Truck Crops
237299,BERRIES STRAWBERRIES PROC.,Truck Crops
237999,BERRIES STRAWBERRIES UNSPEC,Truck Crops
238199,BERRIES BLUEBERRIES,Truck Crops
239999,BERRIES BUSHBERRIES UNSPEC.,Truck Crops
261999,ALMONDS ALL,Almonds & Pistachios
262999,FILBERTS,Other Deciduous
263999,WALNUTS ENGLISH,Other Deciduous
264999,PECANS,Other Deciduous
265999,WALNUTS BLACK,Other Deciduous
266999,CHESTNUTS,Other Deciduous
267999,MACADAMIA NUTS,Other Deciduous
268079,PISTACHIOS,Almonds & Pistachios
301999,ARTICHOKES,Truck Crops
171929,CORN POPCORN SEED,Field
302199,ASPARAGUS FRESH MARKET,Truck Crops
302299,ASPARAGUS PROCESSING,Truck Crops
302999,ASPARAGUS UNSPECIFIED,Truck Crops
303999,BEANS LIMA GREEN,Dry Beans
304199,BEANS SNAP FRESH MARKET,Dry Beans
304399,BEANS FRESH UNSPECIFIED,Dry Beans
304999,BEANS SNAP UNSPECIFIED,Dry Beans
305999,BEETS GARDEN,Truck Crops
362999,PEAS COWPEA & BLACKEYE,Truck Crops
361199,PEAS GREEN FRESH MARKET,Truck Crops
361299,PEAS GREEN PROCESSING,Truck Crops
306999,RAPPINI,Truck Crops
158319,SUNFLOWER SEED,Field
307189,BROCCOLI FOOD SERVICE,Truck Crops
307199,BROCCOLI FRESH MARKET,Truck Crops
307299,BROCCOLI PROCESSING,Truck Crops
307919,BROCCOLI UNSPECIFIED,Truck Crops
308999,BRUSSELS SPROUTS,Truck Crops
309999,CABBAGE CH. & SPECIALTY,Truck Crops
310999,CABBAGE HEAD,Truck Crops
313189,CARROTS FOOD SERVICE,Truck Crops
313199,CARROTS FRESH MARKET,Truck Crops
313299,CARROTS PROCESSING,Truck Crops
313999,CARROTS UNSPECIFIED,Truck Crops
314189,CAULIFLOWER FOOD SERVICE,Truck Crops
314199,CAULIFLOWER FRESH MARKET,Truck Crops
314299,CAULIFLOWER PROCESSING,Truck Crops
314999,CAULIFLOWER UNSPECIFIED,Truck Crops
316189,CELERY FOOD SERVICE,Truck Crops
316199,CELERY FRESH MARKET,Truck Crops
316999,CELERY UNSPECIFIED,Truck Crops
318999,RADICCHIO,Truck Crops
322999,COLLARD GREENS,Truck Crops
323999,CORN SWEET ALL,Truck Crops
325999,CUCUMBERS,Cucurbits
330999,EGGPLANT ALL,Truck Crops
331999,ENDIVE ALL,Truck Crops
332999,ESCAROLE ALL,Truck Crops
333999,ANISE (FENNEL),Truck Crops
335999,GARLIC ALL,Onions & Garlic
337999,KALE,Truck Crops
338999,KOHLRABI,Truck Crops
339196,LETTUCE BULK SALAD PRODS.,Truck Crops
339999,LETTUCE UNSPECIFIED,Truck Crops
340999,LETTUCE HEAD,Truck Crops
341999,LETTUCE ROMAINE,Truck Crops
342999,LETTUCE LEAF,Truck Crops
343999,MELONS CANTALOUPE,Cucurbits
348999,MELONS HONEYDEW,Cucurbits
354299,MELONS UNSPECIFIED,Cucurbits
354999,MELONS WATERMELON,Cucurbits
355999,MUSHROOMS,Truck Crops
357999,OKRA,Truck Crops
358999,ONIONS,Onions & Garlic
359999,PARSLEY,Truck Crops
360999,PARSNIPS,Truck Crops
361999,PEAS GREEN UNSPECIFIED,Truck Crops
363999,PEPPERS BELL,Truck Crops
364999,PEPPERS CHILI HOT,Truck Crops
366999,PUMPKINS,Truck Crops
367999,RADISHES,Truck Crops
370999,RUTABAGAS,Truck Crops
372999,ONIONS GREEN & SHALLOT,Onions & Garlic
374189,SPINACH FOOD SERVICE,Truck Crops
374199,SPINACH FRESH MARKET,Truck Crops
374299,SPINACH PROCESSING,Truck Crops
374999,SPINACH UNSPECIFIED,Truck Crops
375999,SQUASH,Cucurbits
376999,SWISS CHARD,Truck Crops
378199,TOMATES FRESH MARKET,Tomato Fresh
378299,TOMATES PROCESSING,Tomato Processing
378999,TOMATES UNSPECIFIED,Tomato Fresh
380999,TURNIPS ALL,Truck Crops
381999,GREENS TURNIP & MUSTARD,Truck Crops
382999,WATERCRESS,Truck Crops
387999,LEEKS,Truck Crops
391999,POTATOES IRISH ALL,Potatoes
392999,POTATOES SWEET,Potatoes
393999,HORSERADISH,Truck Crops
394199,SALAD GREENS NEC.,Truck Crops
394999,PEAS EDIBLE POD (SNOW),Truck Crops
395999,VEGETABLES ORIENTAL ALL,Truck Crops
396999,SPROUTS ALFALFA & BEAN,Truck Crops
398299,TOMATES GREENHOUSE,Tomato Fresh
398399,TOMATES CHERRY,Tomato Fresh
398499,TOMATILLO,Tomato Fresh
398559,CILANTRO,Truck Crops
398599,SPICES AND HERBS,Truck Crops
398699,MINT,Truck Crops
398899,VEGETABLES BABY,Truck Crops
398999,VEGETABLES UNSPECIFIED,Truck Crops
832919,POTATOES SEED,Potatoes
#N/A,BARLEY MALTING,Grain
#N/A,BEANS PINTO,Dry Beans
161722,BEANS RED SMALL,Dry Beans
304299,BEANS SNAP PROCESSING,Dry Beans
161713,BEANS WHITE SMALL,Dry Beans
161714,BEANS WHITE SMALL FLAT,Dry Beans
234799,BERRIES LOGANBERRIES,Truck Crops
235799,BERRIES OLALLIEBERRIES,Truck Crops
310992,CABBAGE RED,Truck Crops
312999,CARDOON,Truck Crops
316999,CELERY PROCESSING,Truck Crops
320999,CHIVES,Truck Crops
228029,FEIJOA,Citrus & Subtropical
191999,HOPS,Field
344999,MELONS CASABA ,Cucurbits
346999,MELONS CRENSHAW,Cucurbits
356999,MUSTARD,Truck Crops
228059,PEARS PRICKLY,Other Deciduous
208039,POMELO,Citrus & Subtropical
198099,RICE SWEET,Rice
172269,SEED LADINO CLOVER,Field
172909,SEED LEGUMES ALL OTHER,Field
174699,SEED VETCH ,Field
158279,SESAME,Truck Crops
171149,SORGHUM SEED,Field
154999,SOYBEANS,Field
377999,TARO ROOT,Truck Crops
198399,YUCCA,Truck Crops
194699,PASTURE RANGE,Pasture
